# Iteration    J_value
 (3.100000000000000000e+01+0.000000000000000000e+00j)  (3.250424509233928116e+00-4.027812434729358609e-16j)
 (3.200000000000000000e+01+0.000000000000000000e+00j)  (3.155629626431327939e+00+9.297440088831938539e-17j)
 (3.300000000000000000e+01+0.000000000000000000e+00j)  (3.062295301679882620e+00-3.705742390267771247e-16j)
 (3.400000000000000000e+01+0.000000000000000000e+00j)  (2.970823337296736089e+00-2.135957817407146536e-16j)
 (3.500000000000000000e+01+0.000000000000000000e+00j)  (2.881044234109990221e+00-4.604773674380146832e-16j)
 (3.600000000000000000e+01+0.000000000000000000e+00j)  (2.793249080942151519e+00-2.982179253975309927e-16j)
 (3.700000000000000000e+01+0.000000000000000000e+00j)  (2.706427485857255899e+00-2.278936503943957180e-16j)
 (3.800000000000000000e+01+0.000000000000000000e+00j)  (2.622012861586093813e+00-4.269161184410707807e-16j)
 (3.900000000000000000e+01+0.000000000000000000e+00j)  (2.538655021430268111e+00-4.848809210947354441e-16j)
 (4.000000000000000000e+01+0.000000000000000000e+00j)  (2.457590526729913627e+00-1.736579274021863991e-17j)
 (4.100000000000000000e+01+0.000000000000000000e+00j)  (2.377665644288315505e+00+4.175252096726903957e-16j)
 (4.200000000000000000e+01+0.000000000000000000e+00j)  (2.299435576118202817e+00+1.497328338199908969e-16j)
 (4.300000000000000000e+01+0.000000000000000000e+00j)  (2.223210170078780745e+00+4.931380682088139839e-17j)
 (4.400000000000000000e+01+0.000000000000000000e+00j)  (2.147798950392510342e+00-1.243464644529642668e-16j)
 (4.500000000000000000e+01+0.000000000000000000e+00j)  (2.074784198252497713e+00+6.239978065743315659e-17j)
 (4.600000000000000000e+01+0.000000000000000000e+00j)  (2.003547355345674852e+00+2.239966780840929746e-16j)
 (4.700000000000000000e+01+0.000000000000000000e+00j)  (1.933505822691436560e+00-6.663815773824909888e-16j)
 (4.800000000000000000e+01+0.000000000000000000e+00j)  (1.864814698614097876e+00+7.095356492974348400e-16j)
 (4.900000000000000000e+01+0.000000000000000000e+00j)  (1.798189035563588334e+00+1.048903730777979741e-16j)
 (5.000000000000000000e+01+0.000000000000000000e+00j)  (1.732763734715257131e+00+1.496607357612817768e-16j)
 (5.100000000000000000e+01+0.000000000000000000e+00j)  (1.669337176006060464e+00+1.435479885068842514e-17j)
 (5.200000000000000000e+01+0.000000000000000000e+00j)  (1.607329069251285825e+00-4.604467526184588029e-17j)
 (5.300000000000000000e+01+0.000000000000000000e+00j)  (1.546776015133068727e+00-2.135415921421029276e-16j)
 (5.400000000000000000e+01+0.000000000000000000e+00j)  (1.487464425856393158e+00+4.898822453083403115e-18j)
 (5.500000000000000000e+01+0.000000000000000000e+00j)  (1.429907890639402934e+00+2.918223586230384542e-16j)
 (5.600000000000000000e+01+0.000000000000000000e+00j)  (1.373596314012736519e+00-1.004228848180968952e-16j)
 (5.700000000000000000e+01+0.000000000000000000e+00j)  (1.319193089341114566e+00+4.417764064855065057e-17j)
 (5.800000000000000000e+01+0.000000000000000000e+00j)  (1.266054788364699979e+00-1.094664750462923060e-16j)
 (5.900000000000000000e+01+0.000000000000000000e+00j)  (1.214602146424901941e+00-2.599562456990885511e-17j)
 (6.000000000000000000e+01+0.000000000000000000e+00j)  (1.164333445605630235e+00-1.578344216427629837e-16j)
 (6.100000000000000000e+01+0.000000000000000000e+00j)  (1.115614764884141019e+00-3.420467074351542607e-16j)
 (6.200000000000000000e+01+0.000000000000000000e+00j)  (1.068416034640942591e+00-8.968592536626470698e-17j)
 (6.300000000000000000e+01+0.000000000000000000e+00j)  (1.022235917256832272e+00-1.267457604943739651e-16j)
 (6.400000000000000000e+01+0.000000000000000000e+00j)  (9.774798328645358803e-01-2.882175192536040989e-16j)
 (6.500000000000000000e+01+0.000000000000000000e+00j)  (9.342760401508989343e-01+8.735873659732580222e-17j)
 (6.600000000000000000e+01+0.000000000000000000e+00j)  (8.923035083452004468e-01+1.795396979681398011e-16j)
 (6.700000000000000000e+01+0.000000000000000000e+00j)  (8.517765642960092309e-01-1.076169175896806899e-16j)
 (6.800000000000000000e+01+0.000000000000000000e+00j)  (8.121696284316123338e-01-1.007249837659453838e-16j)
 (6.900000000000000000e+01+0.000000000000000000e+00j)  (7.745091394428561538e-01-2.142841042869060328e-16j)
 (7.000000000000000000e+01+0.000000000000000000e+00j)  (7.376136261235304303e-01-8.681360576671683149e-17j)
 (7.100000000000000000e+01+0.000000000000000000e+00j)  (7.018663470229630219e-01-2.355527565557574439e-17j)
 (7.200000000000000000e+01+0.000000000000000000e+00j)  (6.675078552159007250e-01+1.283343524016105927e-16j)
 (7.300000000000000000e+01+0.000000000000000000e+00j)  (6.343596123743180382e-01+5.380589572823264805e-17j)
 (7.400000000000000000e+01+0.000000000000000000e+00j)  (6.025485669875703110e-01-4.670772117457299285e-17j)
 (7.500000000000000000e+01+0.000000000000000000e+00j)  (5.716000066095547893e-01-1.209220433977647829e-16j)
 (7.600000000000000000e+01+0.000000000000000000e+00j)  (5.418811715345999147e-01-1.749219617205273478e-17j)
 (7.700000000000000000e+01+0.000000000000000000e+00j)  (5.132319470875809087e-01-5.143385050085138328e-17j)
 (7.800000000000000000e+01+0.000000000000000000e+00j)  (4.857399681414833470e-01-1.524526124883794776e-16j)
 (7.900000000000000000e+01+0.000000000000000000e+00j)  (4.591655499277336738e-01-1.970389637329963814e-16j)
 (8.000000000000000000e+01+0.000000000000000000e+00j)  (4.337650664250805033e-01-3.581581904186109045e-17j)
 (8.100000000000000000e+01+0.000000000000000000e+00j)  (4.092034348562146873e-01-1.209296599728786533e-16j)
 (8.200000000000000000e+01+0.000000000000000000e+00j)  (3.859003662348176045e-01-1.797326793841387313e-16j)
 (8.300000000000000000e+01+0.000000000000000000e+00j)  (3.634113088397924463e-01-2.555155515986759060e-17j)
 (8.400000000000000000e+01+0.000000000000000000e+00j)  (3.417711706626200829e-01-2.863641725316833125e-17j)
 (8.500000000000000000e+01+0.000000000000000000e+00j)  (3.212085023753651902e-01+4.553057866989549937e-17j)
 (8.600000000000000000e+01+0.000000000000000000e+00j)  (3.015369638666306473e-01+1.412853587595830729e-17j)
 (8.700000000000000000e+01+0.000000000000000000e+00j)  (2.826849664417045993e-01-5.143951094285566836e-17j)
 (8.800000000000000000e+01+0.000000000000000000e+00j)  (2.647375171349330980e-01+8.110708812388074141e-19j)
