# Iteration    J_value
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (3.657425486112896351e+01+4.521112872504508036e-15j)
 (1.000000000000000000e+00+0.000000000000000000e+00j)  (3.623839010751112255e+01+1.454638328292486522e-15j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)  (3.590391509668330627e+01-1.240010237436170863e-15j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)  (3.557166109471392446e+01-5.488843086291972628e-16j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)  (3.524216469924807882e+01+2.493909860408601112e-15j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)  (3.491502307594462451e+01+1.053001983223837852e-15j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)  (3.458980579164018110e+01+1.204377498516292576e-15j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)  (3.426667252077719894e+01+2.013793576079486017e-15j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)  (3.394645146987762985e+01+3.306016632014472523e-15j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)  (3.362728423055334304e+01+3.633477809971239144e-16j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)  (3.331059075464320074e+01+9.244963357359019154e-16j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)  (3.299676695676745197e+01-9.456867737213430291e-16j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)  (3.268456799865980855e+01+1.379680040725540973e-15j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)  (3.237457560994696593e+01-2.275853472745851123e-15j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)  (3.206695980360120046e+01+1.328912424282546676e-15j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)  (3.176099153856910107e+01+1.210018822033207635e-15j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)  (3.145803943662598101e+01+2.769949924609218807e-15j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)  (3.115644606025001906e+01-1.670113505648213312e-15j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)  (3.085722706479259259e+01-6.197533762948305179e-16j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)  (3.055982022469608239e+01+2.652443435444638233e-16j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)  (3.026492359744515070e+01-4.367942986710057161e-15j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)  (2.997193267042694487e+01-5.179213772539217345e-16j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)  (2.968101140605135058e+01+1.840474249380400769e-15j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)  (2.939210908640211173e+01+1.073609679109233022e-15j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)  (2.910518191192446835e+01-1.635500687982217385e-15j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)  (2.882048132710306376e+01-1.311083048180059869e-15j)
 (2.600000000000000000e+01+0.000000000000000000e+00j)  (2.853798441812379849e+01-4.242872505091903280e-16j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)  (2.825725633508792356e+01+7.755494380577848627e-16j)
 (2.800000000000000000e+01+0.000000000000000000e+00j)  (2.797864689072130417e+01+5.194376421015485322e-15j)
 (2.900000000000000000e+01+0.000000000000000000e+00j)  (2.770169748522135933e+01-2.190781981487917601e-15j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)  (2.742696217032482053e+01-1.656846621015451054e-15j)
 (3.100000000000000000e+01+0.000000000000000000e+00j)  (2.715421803441611814e+01+1.150499315792876537e-16j)
 (3.200000000000000000e+01+0.000000000000000000e+00j)  (2.688360079258114155e+01+8.992505056259606119e-16j)
 (3.300000000000000000e+01+0.000000000000000000e+00j)  (2.661476933673593948e+01+1.285115900375883114e-16j)
 (3.400000000000000000e+01+0.000000000000000000e+00j)  (2.634754997313411806e+01-8.426484448665418726e-16j)
 (3.500000000000000000e+01+0.000000000000000000e+00j)  (2.608259942735092096e+01+1.471663851874034170e-15j)
 (3.600000000000000000e+01+0.000000000000000000e+00j)  (2.581982265109573049e+01+5.627029149917155015e-16j)
 (3.700000000000000000e+01+0.000000000000000000e+00j)  (2.555813006075501548e+01-5.970553495998432375e-16j)
 (3.800000000000000000e+01+0.000000000000000000e+00j)  (2.529969682859162106e+01+2.515819857902540290e-15j)
 (3.900000000000000000e+01+0.000000000000000000e+00j)  (2.504233064287182486e+01+2.588567641833816141e-16j)
 (4.000000000000000000e+01+0.000000000000000000e+00j)  (2.478730734415346149e+01-3.417603827431806090e-16j)
 (4.100000000000000000e+01+0.000000000000000000e+00j)  (2.453409480283561095e+01-2.294681446297926043e-16j)
 (4.200000000000000000e+01+0.000000000000000000e+00j)  (2.428227811583489881e+01+7.553646493961003159e-16j)
 (4.300000000000000000e+01+0.000000000000000000e+00j)  (2.403271821341199654e+01-1.007392913471362746e-15j)
 (4.400000000000000000e+01+0.000000000000000000e+00j)  (2.378494983099420423e+01+1.093992891816679539e-15j)
 (4.500000000000000000e+01+0.000000000000000000e+00j)  (2.353849985484830398e+01-1.564743358987914185e-15j)
 (4.600000000000000000e+01+0.000000000000000000e+00j)  (2.329470208856044877e+01-2.387295757422874977e-15j)
 (4.700000000000000000e+01+0.000000000000000000e+00j)  (2.305227481079257856e+01-1.305832210987309670e-15j)
 (4.800000000000000000e+01+0.000000000000000000e+00j)  (2.281154132607081308e+01+1.650698791132867766e-15j)
 (4.900000000000000000e+01+0.000000000000000000e+00j)  (2.257332029183919886e+01-3.160935040395347651e-15j)
