# Iteration    J_value
 (1.180000000000000000e+02+0.000000000000000000e+00j)  (6.202636510573800479e+04-2.231993760358202217e-12j)
 (1.190000000000000000e+02+0.000000000000000000e+00j)  (6.154077810797638813e+04-1.011304617731865655e-12j)
 (1.200000000000000000e+02+0.000000000000000000e+00j)  (6.106036230563002027e+04+1.429717294879711969e-12j)
 (1.210000000000000000e+02+0.000000000000000000e+00j)  (6.058349470377097896e+04+2.820176294266728365e-13j)
 (1.220000000000000000e+02+0.000000000000000000e+00j)  (6.011036104507021810e+04+2.324142951993541947e-13j)
 (1.230000000000000000e+02+0.000000000000000000e+00j)  (5.964171659505418938e+04-9.104188040533707800e-13j)
 (1.240000000000000000e+02+0.000000000000000000e+00j)  (5.917577811371890130e+04+4.319925456975600323e-12j)
 (1.250000000000000000e+02+0.000000000000000000e+00j)  (5.871353427478238882e+04-4.839214919791263425e-13j)
 (1.260000000000000000e+02+0.000000000000000000e+00j)  (5.825583469676878303e+04+2.895599752801544370e-13j)
 (1.270000000000000000e+02+0.000000000000000000e+00j)  (5.780192658279476018e+04+1.051406540387088015e-12j)
 (1.280000000000000000e+02+0.000000000000000000e+00j)  (5.735216284347101464e+04+1.850075430017961852e-12j)
 (1.290000000000000000e+02+0.000000000000000000e+00j)  (5.690659426723580691e+04+3.670304972012870939e-13j)
 (1.300000000000000000e+02+0.000000000000000000e+00j)  (5.646392053596153710e+04+2.839652513835346338e-12j)
 (1.310000000000000000e+02+0.000000000000000000e+00j)  (5.602556041623010242e+04-7.437891218536007429e-13j)
 (1.320000000000000000e+02+0.000000000000000000e+00j)  (5.559032968159992015e+04+7.027885339022036147e-14j)
 (1.330000000000000000e+02+0.000000000000000000e+00j)  (5.515949237739739328e+04+3.225366891886643942e-13j)
 (1.340000000000000000e+02+0.000000000000000000e+00j)  (5.473204772819903883e+04+1.541722028247421193e-12j)
 (1.350000000000000000e+02+0.000000000000000000e+00j)  (5.430857252998564218e+04+1.053487879994159870e-12j)
 (1.360000000000000000e+02+0.000000000000000000e+00j)  (5.388772955337194435e+04-2.109021641995015741e-12j)
 (1.370000000000000000e+02+0.000000000000000000e+00j)  (5.347169711370125879e+04+3.574234810162776299e-12j)
 (1.380000000000000000e+02+0.000000000000000000e+00j)  (5.305816158040882874e+04-3.745487745669681565e-12j)
 (1.390000000000000000e+02+0.000000000000000000e+00j)  (5.264911296050380770e+04-8.115660184535679006e-13j)
 (1.400000000000000000e+02+0.000000000000000000e+00j)  (5.224492034683436214e+04+1.658142738878054634e-12j)
 (1.410000000000000000e+02+0.000000000000000000e+00j)  (5.184164488478741987e+04+1.889067122961004741e-12j)
 (1.420000000000000000e+02+0.000000000000000000e+00j)  (5.144270446901024116e+04-1.311641906420621797e-13j)
 (1.430000000000000000e+02+0.000000000000000000e+00j)  (5.104752246540392662e+04+6.214438666143033027e-13j)
 (1.440000000000000000e+02+0.000000000000000000e+00j)  (5.065670771943450382e+04-1.325843313563831237e-12j)
 (1.450000000000000000e+02+0.000000000000000000e+00j)  (5.026832749396491272e+04-1.028740652237688638e-12j)
