# Iteration    J_value
 (1.980000000000000000e+02+0.000000000000000000e+00j)  (2.710468626098231582e+00+5.228636399235671836e-16j)
 (1.990000000000000000e+02+0.000000000000000000e+00j)  (2.656759920091019023e+00-2.992509867682165349e-16j)
 (2.000000000000000000e+02+0.000000000000000000e+00j)  (2.603686988024296323e+00+5.396883757270896413e-16j)
 (2.010000000000000000e+02+0.000000000000000000e+00j)  (2.551514989826322743e+00+2.637291858254118353e-16j)
 (2.020000000000000000e+02+0.000000000000000000e+00j)  (2.499964925974176300e+00-5.119588564977146002e-16j)
 (2.030000000000000000e+02+0.000000000000000000e+00j)  (2.449240200615146801e+00+3.318872000838608115e-16j)
 (2.040000000000000000e+02+0.000000000000000000e+00j)  (2.399166132953403086e+00+3.924087385482500864e-17j)
 (2.050000000000000000e+02+0.000000000000000000e+00j)  (2.349799483655581334e+00-4.629080861421576228e-17j)
 (2.060000000000000000e+02+0.000000000000000000e+00j)  (2.301126679731903657e+00+5.696514927524713085e-16j)
 (2.070000000000000000e+02+0.000000000000000000e+00j)  (2.253201824361344752e+00-4.649697267860934926e-16j)
 (2.080000000000000000e+02+0.000000000000000000e+00j)  (2.205927990369077829e+00+1.783494046770229043e-16j)
 (2.090000000000000000e+02+0.000000000000000000e+00j)  (2.159346208293242420e+00-9.117954683378727846e-20j)
 (2.100000000000000000e+02+0.000000000000000000e+00j)  (2.113492773334977759e+00+1.499261821321627877e-16j)
 (2.110000000000000000e+02+0.000000000000000000e+00j)  (2.068276755592949989e+00+2.254713514737927852e-16j)
 (2.120000000000000000e+02+0.000000000000000000e+00j)  (2.023819250940291248e+00-6.963306406484288728e-16j)
 (2.130000000000000000e+02+0.000000000000000000e+00j)  (1.979929334403925933e+00+5.836723903023995135e-16j)
 (2.140000000000000000e+02+0.000000000000000000e+00j)  (1.936720278136803142e+00-3.086268725642582121e-16j)
 (2.150000000000000000e+02+0.000000000000000000e+00j)  (1.894225439782061260e+00+7.975622873603737341e-17j)
 (2.160000000000000000e+02+0.000000000000000000e+00j)  (1.852235827519985500e+00-1.448149862500199877e-16j)
 (2.170000000000000000e+02+0.000000000000000000e+00j)  (1.810956573874902720e+00+4.559787036634779851e-17j)
 (2.180000000000000000e+02+0.000000000000000000e+00j)  (1.770386419091966257e+00+1.550579883940800273e-16j)
 (2.190000000000000000e+02+0.000000000000000000e+00j)  (1.730509535694090273e+00-4.965738056691854981e-17j)
 (2.200000000000000000e+02+0.000000000000000000e+00j)  (1.691078988390954274e+00-2.108368995127183325e-16j)
 (2.210000000000000000e+02+0.000000000000000000e+00j)  (1.652354349267564748e+00+1.169666563580524387e-16j)
 (2.220000000000000000e+02+0.000000000000000000e+00j)  (1.614242213809125248e+00+5.588532897331273682e-16j)
 (2.230000000000000000e+02+0.000000000000000000e+00j)  (1.576746420721297115e+00+6.986289057337921766e-16j)
 (2.240000000000000000e+02+0.000000000000000000e+00j)  (1.539772399405707759e+00-3.443699083894432144e-16j)
 (2.250000000000000000e+02+0.000000000000000000e+00j)  (1.503477706131554070e+00+4.014194209426287088e-17j)
 (2.260000000000000000e+02+0.000000000000000000e+00j)  (1.467777019404635341e+00-9.746614778117666309e-17j)
 (2.270000000000000000e+02+0.000000000000000000e+00j)  (1.432597057326070455e+00-1.631625500740368709e-16j)
 (2.280000000000000000e+02+0.000000000000000000e+00j)  (1.398066519737959812e+00-1.705606890735896378e-16j)
 (2.290000000000000000e+02+0.000000000000000000e+00j)  (1.364149240354504355e+00-1.056562193924247323e-16j)
 (2.300000000000000000e+02+0.000000000000000000e+00j)  (1.330711816322075025e+00-5.799710919931081175e-17j)
 (2.310000000000000000e+02+0.000000000000000000e+00j)  (1.297850931747077219e+00+3.065656293651363474e-16j)
 (2.320000000000000000e+02+0.000000000000000000e+00j)  (1.265586415107158746e+00-4.392397922787397037e-17j)
 (2.330000000000000000e+02+0.000000000000000000e+00j)  (1.233856639390515708e+00+8.633346925723543586e-17j)
 (2.340000000000000000e+02+0.000000000000000000e+00j)  (1.202705622614239189e+00-8.425154272659964836e-17j)
 (2.350000000000000000e+02+0.000000000000000000e+00j)  (1.172053610837536564e+00+1.494730169898799305e-16j)
 (2.360000000000000000e+02+0.000000000000000000e+00j)  (1.142016634463238089e+00+2.370283307873449442e-16j)
 (2.370000000000000000e+02+0.000000000000000000e+00j)  (1.112398327077675830e+00+2.142922451708218557e-16j)
 (2.380000000000000000e+02+0.000000000000000000e+00j)  (1.083394816383178583e+00-1.637029018842339105e-16j)
 (2.390000000000000000e+02+0.000000000000000000e+00j)  (1.054797592918531812e+00-5.098565454143408056e-17j)
 (2.400000000000000000e+02+0.000000000000000000e+00j)  (1.026823298274859741e+00-2.006176886418238403e-16j)
 (2.410000000000000000e+02+0.000000000000000000e+00j)  (9.993407394472129113e-01+1.608231131592443530e-16j)
 (2.420000000000000000e+02+0.000000000000000000e+00j)  (9.723241223511058795e-01-1.450110461323321491e-16j)
 (2.430000000000000000e+02+0.000000000000000000e+00j)  (9.458459334679470976e-01-5.551966618949837583e-16j)
 (2.440000000000000000e+02+0.000000000000000000e+00j)  (9.198257236128255521e-01+2.807229790827917557e-17j)
