# Time(fs)    f(t)(a.u.)
0.000000000000000000e+00 1.885307667577614628e-04
2.857551078725532531e-02 1.935116822977002156e-04
5.715102157451065062e-02 1.984760236616196489e-04
8.572653236176597247e-02 2.034232221805052428e-04
1.143020431490213012e-01 2.083527106502011206e-04
1.428775539362766300e-01 2.132639229177260695e-04
1.714530647235319449e-01 2.181562930242389366e-04
2.000285755107872598e-01 2.230292570121693817e-04
2.286040862980426025e-01 2.278822509776713418e-04
2.571795970852979729e-01 2.327147117047964370e-04
2.857551078725532601e-01 2.375260779103051899e-04
3.143306186598085472e-01 2.423157889966506471e-04
3.429061294470638899e-01 2.470832852507168112e-04
3.714816402343192325e-01 2.518280088244490402e-04
4.000571510215745197e-01 2.565494029265691302e-04
4.286326618088298623e-01 2.612469118779498032e-04
4.572081725960852050e-01 2.659199819875893199e-04
4.857836833833405477e-01 2.705680599992562707e-04
5.143591941705959458e-01 2.751905949821086927e-04
5.429347049578511220e-01 2.797870371880676580e-04
5.715102157451065201e-01 2.843568386869769495e-04
6.000857265323618073e-01 2.888994537497377750e-04
6.286612373196170944e-01 2.934143376425603204e-04
6.572367481068724926e-01 2.979009481483329354e-04
6.858122588941277797e-01 3.023587446008736560e-04
7.143877696813831779e-01 3.067871886314145133e-04
7.429632804686384651e-01 3.111857433892860651e-04
7.715387912558937522e-01 3.155538743550298855e-04
8.001143020431490394e-01 3.198910491277994752e-04
8.286898128304044375e-01 3.241967377483507022e-04
8.572653236176597247e-01 3.284704122193040786e-04
8.858408344049151228e-01 3.327115469728860581e-04
9.144163451921704100e-01 3.369196186245665891e-04
9.429918559794256971e-01 3.410941066218401113e-04
9.715673667666810953e-01 3.452344926748508215e-04
1.000142877553936271e+00 3.493402607123494001e-04
1.028718388341191892e+00 3.534108982773902078e-04
1.057293899128447068e+00 3.574458942575183137e-04
1.085869409915702244e+00 3.614447415035632397e-04
1.114444920702957642e+00 3.654069350438917383e-04
1.143020431490213040e+00 3.693319726183082446e-04
1.171595942277468216e+00 3.732193553886157178e-04
1.200171453064723615e+00 3.770685874018675867e-04
1.228746963851979013e+00 3.808791755549063157e-04
1.257322474639234189e+00 3.846506299172622843e-04
1.285897985426489587e+00 3.883824637337000363e-04
1.314473496213744985e+00 3.920741935492001186e-04
1.343049007001000383e+00 3.957253391621064231e-04
1.371624517788255559e+00 3.993354239062927831e-04
1.400200028575510958e+00 4.029039740627991437e-04
1.428775539362766356e+00 4.064305199062199061e-04
1.457351050150021532e+00 4.099145949873556549e-04
1.485926560937276930e+00 4.133557359361698762e-04
1.514502071724532328e+00 4.167534838983798749e-04
1.543077582511787504e+00 4.201073834051373586e-04
1.571653093299042681e+00 4.234169824077915366e-04
1.600228604086298079e+00 4.266818331002171657e-04
1.628804114873553699e+00 4.299014917933206966e-04
1.657379625660808875e+00 4.330755181234890419e-04
1.685955136448064273e+00 4.362034762815812021e-04
1.714530647235319449e+00 4.392849342503585709e-04
1.743106158022574625e+00 4.423194636992087416e-04
1.771681668809830246e+00 4.453066418267518701e-04
1.800257179597085644e+00 4.482460490336863087e-04
1.828832690384340820e+00 4.511372698810972343e-04
1.857408201171595996e+00 4.539798937065036839e-04
1.885983711958851394e+00 4.567735143998533868e-04
1.914559222746107015e+00 4.595177299318543244e-04
1.943134733533362191e+00 4.622121429528297347e-04
1.971710244320617367e+00 4.648563609495837351e-04
2.000285755107872543e+00 4.674499954911645345e-04
2.028861265895128163e+00 4.699926632961124481e-04
2.057436776682383783e+00 4.724839852067546069e-04
2.086012287469638959e+00 4.749235881272248516e-04
2.114587798256894136e+00 4.773111023593728879e-04
2.143163309044149312e+00 4.796461638934775332e-04
2.171738819831404488e+00 4.819284139885556331e-04
2.200314330618660108e+00 4.841574985919799108e-04
2.228889841405915284e+00 4.863330683028817226e-04
2.257465352193170904e+00 4.884547794539393631e-04
2.286040862980426080e+00 4.905222938646429777e-04
2.314616373767681257e+00 4.925352775441787199e-04
2.343191884554936433e+00 4.944934025206000052e-04
2.371767395342192053e+00 4.963963462125098010e-04
2.400342906129447229e+00 4.982437913277732670e-04
2.428918416916702849e+00 5.000354259802245295e-04
2.457493927703958025e+00 5.017709438467071867e-04
2.486069438491213202e+00 5.034500439479382920e-04
2.514644949278468378e+00 5.050724311977731985e-04
2.543220460065723998e+00 5.066378163440004223e-04
2.571795970852979174e+00 5.081459156394402396e-04
2.600371481640234350e+00 5.095964507120456658e-04
2.628946992427489970e+00 5.109891495148358382e-04
2.657522503214745146e+00 5.123237458034664770e-04
2.686098014002000767e+00 5.135999792194710254e-04
2.714673524789255943e+00 5.148175953049798862e-04
2.743249035576511119e+00 5.159763454572192758e-04
2.771824546363766295e+00 5.170759871429387667e-04
2.800400057151021915e+00 5.181162840534876517e-04
2.828975567938277536e+00 5.190970061355624837e-04
2.857551078725532712e+00 5.200179293975621710e-04
2.886126589512787888e+00 5.208788364344322510e-04
2.914702100300043064e+00 5.216795155130212044e-04
2.943277611087298240e+00 5.224197613171500422e-04
2.971853121874553860e+00 5.230993753115258495e-04
3.000428632661809036e+00 5.237181652417829871e-04
3.029004143449064657e+00 5.242759454909216030e-04
3.057579654236319833e+00 5.247725363843985498e-04
3.086155165023575009e+00 5.252077647489227993e-04
3.114730675810830629e+00 5.255814648499544358e-04
3.143306186598085361e+00 5.258934769269655186e-04
3.171881697385340981e+00 5.261436477245573333e-04
3.200457208172596157e+00 5.263318317746113178e-04
3.229032718959851778e+00 5.264578889856923833e-04
3.257608229747107398e+00 5.265216863842149368e-04
3.286183740534362130e+00 5.265230978906560713e-04
3.314759251321617750e+00 5.264620045529849442e-04
3.343334762108872926e+00 5.263382948041942953e-04
3.371910272896128546e+00 5.261518630942943692e-04
