# Time(fs)    f(t)(a.u.)
0.000000000000000000e+00 5.266358922320869482e-04
4.286326618088297929e-02 5.364039205940539711e-04
8.572653236176595859e-02 5.460078824752434253e-04
1.285897985426489587e-01 5.554450325690450142e-04
1.714530647235319172e-01 5.647126877395221073e-04
2.143163309044149312e-01 5.738082159785449230e-04
2.571795970852979174e-01 5.827290323021442871e-04
3.000428632661809036e-01 5.914726094579639184e-04
3.429061294470638344e-01 6.000364736280124327e-04
3.857693956279468206e-01 6.084182034467123861e-04
4.286326618088298623e-01 6.166154395270020787e-04
4.714959279897128486e-01 6.246258795307304363e-04
5.143591941705958348e-01 6.324472814037673243e-04
5.572224603514788210e-01 6.400774563442851320e-04
6.000857265323618073e-01 6.475142781113917391e-04
6.429489927132447935e-01 6.547556795624454072e-04
6.858122588941276687e-01 6.617996540265161289e-04
7.286755250750106550e-01 6.686442567202895886e-04
7.715387912558936412e-01 6.752876029144758326e-04
8.144020574367766274e-01 6.817278699565677488e-04
8.572653236176597247e-01 6.879632967087209467e-04
9.001285897985425999e-01 6.939921820658351108e-04
9.429918559794256971e-01 6.998128893341608531e-04
9.858551221603085724e-01 7.054238456113462973e-04
1.028718388341191670e+00 7.108235386280084816e-04
1.071581654522074434e+00 7.160105224349932670e-04
1.114444920702957642e+00 7.209834175156830697e-04
1.157308186883840406e+00 7.257409113377658863e-04
1.200171453064723615e+00 7.302817553795217876e-04
1.243034719245606379e+00 7.346047684523464901e-04
1.285897985426489587e+00 7.387088314372873207e-04
1.328761251607372351e+00 7.425928917926534305e-04
1.371624517788255337e+00 7.462559645867312659e-04
1.414487783969138546e+00 7.496971305828589944e-04
1.457351050150021310e+00 7.529155371852096689e-04
1.500214316330904518e+00 7.559104005447881379e-04
1.543077582511787282e+00 7.586810027517376220e-04
1.585940848692670269e+00 7.612266919185383535e-04
1.628804114873553255e+00 7.635468840804174187e-04
1.671667381054436463e+00 7.656410616780414281e-04
1.714530647235319449e+00 7.675087784257248911e-04
1.757393913416202214e+00 7.691496543876381571e-04
1.800257179597085200e+00 7.705633780296079847e-04
1.843120445777968186e+00 7.717497024867413713e-04
1.885983711958851394e+00 7.727084512684611727e-04
1.928846978139734158e+00 7.734395142682127643e-04
1.971710244320617145e+00 7.739428506606268023e-04
2.014573510501500131e+00 7.742184848065662229e-04
2.057436776682383339e+00 7.742665090186997114e-04
2.100300042863266103e+00 7.740870805361106752e-04
2.143163309044148868e+00 7.736804266738159675e-04
2.186026575225032076e+00 7.730468429364451433e-04
2.228889841405915284e+00 7.721866914922605966e-04
2.271753107586798048e+00 7.711004004166003081e-04
2.314616373767680813e+00 7.697884655189873816e-04
2.357479639948564021e+00 7.682514477163244777e-04
2.400342906129447229e+00 7.664899737121638225e-04
2.443206172310329993e+00 7.645047352385159548e-04
2.486069438491212757e+00 7.622964920773632122e-04
2.528932704672095966e+00 7.598660664820716844e-04
2.571795970852979174e+00 7.572143487420124591e-04
2.614659237033861938e+00 7.543422918983478005e-04
2.657522503214744702e+00 7.512509141499446172e-04
2.700385769395627911e+00 7.479412971105433216e-04
2.743249035576510675e+00 7.444145832827309172e-04
2.786112301757393883e+00 7.406719818431095658e-04
2.828975567938277091e+00 7.367147670998927967e-04
2.871838834119159856e+00 7.325442698682054854e-04
2.914702100300042620e+00 7.281618886588185798e-04
2.957565366480925828e+00 7.235690806189365182e-04
3.000428632661809036e+00 7.187673619821414572e-04
3.043291898842691801e+00 7.137583087742128962e-04
3.086155165023574565e+00 7.085435588449184299e-04
3.129018431204457773e+00 7.031248080252910579e-04
3.171881697385340537e+00 6.975038103004088360e-04
3.214744963566223745e+00 6.916823800608179907e-04
3.257608229747106510e+00 6.856623856456449439e-04
3.300471495927989274e+00 6.794457527719258323e-04
3.343334762108872926e+00 6.730344658492995458e-04
3.386198028289755246e+00 6.664305613312971732e-04
3.429061294470638899e+00 6.596361357942427239e-04
3.471924560651521663e+00 6.526533347292972319e-04
3.514787826832404427e+00 6.454843612911388131e-04
3.557651093013287635e+00 6.381314671738263231e-04
3.600514359194170400e+00 6.305969589696985497e-04
3.643377625375053608e+00 6.228831946409699736e-04
3.686240891555936372e+00 6.149925810732169646e-04
3.729104157736819136e+00 6.069275760353481626e-04
3.771967423917702789e+00 5.986906860477519488e-04
3.814830690098585553e+00 5.902844647785720220e-04
3.857693956279468317e+00 5.817115150948462803e-04
3.900557222460351525e+00 5.729744819455975455e-04
3.943420488641234289e+00 5.640760576570679743e-04
3.986283754822117498e+00 5.550189757256480689e-04
4.029147021003000262e+00 5.458060151905321259e-04
4.072010287183883470e+00 5.364400029324618976e-04
4.114873553364766678e+00 5.269238059562910683e-04
4.157736819545648999e+00 5.172603298898283087e-04
4.200600085726532207e+00 5.074525220312068154e-04
4.243463351907415415e+00 4.975033679217912832e-04
4.286326618088297735e+00 4.874158950244284806e-04
4.329189884269181832e+00 4.771931644116487884e-04
4.372053150450064152e+00 4.668382751078595260e-04
4.414916416630946472e+00 4.563543618365681017e-04
4.457779682811830568e+00 4.457445944776346333e-04
4.500642948992712888e+00 4.350121739146713758e-04
4.543506215173596097e+00 4.241603309297585630e-04
4.586369481354479305e+00 4.131923328116789834e-04
4.629232747535361625e+00 4.021114758117009386e-04
4.672096013716244833e+00 3.909210852945246644e-04
4.714959279897128042e+00 3.796245134952287693e-04
4.757822546078010362e+00 3.682251415976000382e-04
4.800685812258894458e+00 3.567263802269283655e-04
4.843549078439776778e+00 3.451316596909978864e-04
4.886412344620659987e+00 3.334444363181528464e-04
4.929275610801543195e+00 3.216681902705666608e-04
4.972138876982425515e+00 3.098064245867161899e-04
5.015002143163308723e+00 2.978626595919531880e-04
5.057865409344191931e+00 2.858404430380489429e-04
5.100728675525075140e+00 2.737433346740721584e-04
5.143591941705958348e+00 2.615749143210352652e-04
5.186455207886840668e+00 2.493387778591082786e-04
5.229318474067723876e+00 2.370385394857451829e-04
5.272181740248607085e+00 2.246778230872764268e-04
5.315045006429489405e+00 2.122602696750978762e-04
5.357908272610372613e+00 1.997895307829340380e-04
5.400771538791255821e+00 1.872692686821569798e-04
5.443634804972139030e+00 1.747031583321446339e-04
5.486498071153021350e+00 1.620948825752864780e-04
5.529361337333904558e+00 1.494481310043501863e-04
5.572224603514787766e+00 1.367666021220123769e-04
5.615087869695670975e+00 1.240540013220468440e-04
5.657951135876554183e+00 1.113140346843169946e-04
5.700814402057436503e+00 9.855041469607685894e-05
5.743677668238319711e+00 8.576685599046961900e-05
5.786540934419202920e+00 7.296707551772879706e-05
5.829404200600085240e+00 6.015479093679138348e-05
5.872267466780968448e+00 4.733371700449059294e-05
5.915130732961851656e+00 3.450756976073163674e-05
5.957993999142733976e+00 2.168006096879054520e-05
6.000857265323618073e+00 8.854896762141361779e-06
6.043720531504500393e+00 -3.964222990948618301e-06
6.086583797685383601e+00 -1.677360094428236335e-05
6.129447063866266809e+00 -2.956954783488739666e-05
6.172310330047149129e+00 -4.234838227664251917e-05
6.215173596228032338e+00 -5.510643324283862857e-05
6.258036862408915546e+00 -6.784003820012070708e-05
6.300900128589797866e+00 -8.054554733152016267e-05
6.343763394770681074e+00 -9.321932318789909406e-05
6.386626660951565171e+00 -1.058577416378950713e-04
6.429489927132447491e+00 -1.184571925826845350e-04
6.472353193313330699e+00 -1.310140815502081990e-04
6.515216459494213019e+00 -1.435248282750861758e-04
6.558079725675096228e+00 -1.559858698724390859e-04
6.600942991855978548e+00 -1.683936605579402948e-04
6.643806258036862644e+00 -1.807446762329669918e-04
6.686669524217745852e+00 -1.930354162333041551e-04
6.729532790398628173e+00 -2.052624002965145237e-04
6.772396056579510493e+00 -2.174221671989105798e-04
6.815259322760393701e+00 -2.295112811036736553e-04
6.858122588941277797e+00 -2.415263305411736604e-04
6.900985855122160118e+00 -2.534639298504206694e-04
6.943849121303043326e+00 -2.653207204687722484e-04
6.986712387483925646e+00 -2.770933659713077407e-04
7.029575653664808854e+00 -2.887785611746161675e-04
7.072438919845692951e+00 -3.003730292675228048e-04
7.115302186026575271e+00 -3.118735202541394655e-04
7.158165452207458479e+00 -3.232768175905766745e-04
7.201028718388340799e+00 -3.345797359645526973e-04
7.243891984569223119e+00 -3.457791206391997449e-04
7.286755250750107216e+00 -3.568718530099071538e-04
7.329618516930990424e+00 -3.678548466376368206e-04
7.372481783111872744e+00 -3.787250484691597873e-04
7.415345049292755952e+00 -3.894794381718673089e-04
7.458208315473638272e+00 -4.001150391287125723e-04
7.501071581654521481e+00 -4.106289106002067963e-04
7.543934847835405577e+00 -4.210181493338901429e-04
7.586798114016287897e+00 -4.312798922829305551e-04
7.629661380197171106e+00 -4.414113142250587394e-04
7.672524646378053426e+00 -4.514096283054175145e-04
7.715387912558936634e+00 -4.612720935054496238e-04
7.758251178739820730e+00 -4.709960129985443539e-04
7.801114444920703050e+00 -4.805787297935169649e-04
7.843977711101585371e+00 -4.900176261119984370e-04
7.886840977282468579e+00 -4.993101311248977119e-04
7.929704243463350899e+00 -5.084537207580194220e-04
7.972567509644234995e+00 -5.174459131495964684e-04
8.015430775825118204e+00 -5.262842704041350824e-04
8.058294042006000524e+00 -5.349663979012491679e-04
8.101157308186882844e+00 -5.434899549939792686e-04
8.144020574367766940e+00 -5.518526443579387791e-04
8.186883840548651037e+00 -5.600522201931572297e-04
8.229747106729533357e+00 -5.680864840843084275e-04
8.272610372910415677e+00 -5.759532873540959552e-04
8.315473639091297997e+00 -5.836505284515818752e-04
8.358336905272180317e+00 -5.911761612853858776e-04
8.401200171453064414e+00 -5.985281907184119557e-04
8.444063437633948510e+00 -6.057046803426789899e-04
8.486926703814830830e+00 -6.127037393349293566e-04
8.529789969995713150e+00 -6.195235310743499400e-04
8.572653236176595470e+00 -6.261622741414368592e-04
8.615516502357479567e+00 -6.326182388509634692e-04
8.658379768538363663e+00 -6.388897476399566866e-04
8.701243034719245983e+00 -6.449751763118820834e-04
8.744106300900128304e+00 -6.508729526729709319e-04
8.786969567081010624e+00 -6.565815660183796755e-04
8.829832833261892944e+00 -6.620995583902987121e-04
8.872696099442777040e+00 -6.674255244966489399e-04
8.915559365623661137e+00 -6.725581167092223311e-04
8.958422631804543457e+00 -6.774960486044138757e-04
9.001285897985425777e+00 -6.822380908126127966e-04
9.044149164166308097e+00 -6.867830694761141528e-04
9.087012430347192193e+00 -6.911298703764825460e-04
9.129875696528076290e+00 -6.952774346567639277e-04
9.172738962708958610e+00 -6.992247642083787877e-04
9.215602228889840930e+00 -7.029709200763481448e-04
9.258465495070723250e+00 -7.065150179687349060e-04
9.301328761251607347e+00 -7.098562311981563514e-04
9.344192027432489667e+00 -7.129937962602456549e-04
9.387055293613373763e+00 -7.159269995771418453e-04
9.429918559794256083e+00 -7.186551926002179022e-04
9.472781825975138403e+00 -7.211777820813804890e-04
9.515645092156020723e+00 -7.234942442217957631e-04
9.558508358336904820e+00 -7.256041083481544777e-04
9.601371624517788916e+00 -7.275069651698109867e-04
9.644234890698671236e+00 -7.292024598645040906e-04
9.687098156879553557e+00 -7.306903000316739699e-04
9.729961423060435877e+00 -7.319702501598125428e-04
9.772824689241319973e+00 -7.330421366599623647e-04
9.815687955422204070e+00 -7.339058446751862150e-04
9.858551221603086390e+00 -7.345613198663675540e-04
9.901414487783968710e+00 -7.350085708195637025e-04
9.944277753964851030e+00 -7.352476614944508659e-04
9.987141020145735126e+00 -7.352787169093942792e-04
1.003000428632661745e+01 -7.351019152981799623e-04
1.007286755250750154e+01 -7.347174982080628778e-04
1.011573081868838386e+01 -7.341257666625384355e-04
1.015859408486926618e+01 -7.333270786641303118e-04
1.020145735105015028e+01 -7.323218570913003550e-04
1.024432061723103260e+01 -7.311105747676583657e-04
1.028718388341191670e+01 -7.296937643715527147e-04
1.033004714959279902e+01 -7.280720140545400478e-04
1.037291041577368134e+01 -7.262459660331978088e-04
1.041577368195456543e+01 -7.242163253467206671e-04
1.045863694813544775e+01 -7.219838500068313488e-04
1.050150021431633007e+01 -7.195493535721927828e-04
1.054436348049721417e+01 -7.169137106499986036e-04
1.058722674667809649e+01 -7.140778494010096254e-04
1.063009001285897881e+01 -7.110427562368259275e-04
1.067295327903986291e+01 -7.078094736978221774e-04
1.071581654522074523e+01 -7.043790950174392152e-04
1.075867981140162932e+01 -7.007527686864249662e-04
1.080154307758251164e+01 -6.969316969977992380e-04
1.084440634376339396e+01 -6.929171336077355860e-04
1.088726960994427806e+01 -6.887103878178010233e-04
1.093013287612516038e+01 -6.843128192389260093e-04
1.097299614230604270e+01 -6.797258425165714300e-04
1.101585940848692680e+01 -6.749509160050986027e-04
1.105872267466780912e+01 -6.699895570502568997e-04
1.110158594084869321e+01 -6.648433319689470459e-04
1.114444920702957553e+01 -6.595138547913423355e-04
1.118731247321045785e+01 -6.540027893664798319e-04
1.123017573939134195e+01 -6.483118482964298932e-04
1.127303900557222427e+01 -6.424427899694892504e-04
1.131590227175310837e+01 -6.363974220390308106e-04
1.135876553793399069e+01 -6.301776017591633264e-04
1.140162880411487301e+01 -6.237852244156832666e-04
1.144449207029575533e+01 -6.172222373311104463e-04
1.148735533647663942e+01 -6.104906328959651190e-04
1.153021860265752174e+01 -6.035924457326298596e-04
1.157308186883840584e+01 -5.965297534537040980e-04
1.161594513501928816e+01 -5.893046805018301460e-04
1.165880840120017048e+01 -5.819193928524587578e-04
1.170167166738105458e+01 -5.743760926675010913e-04
1.174453493356193690e+01 -5.666770294794353001e-04
1.178739819974282099e+01 -5.588244869648586024e-04
1.183026146592370331e+01 -5.508207909766175796e-04
1.187312473210458563e+01 -5.426683077215088127e-04
1.191598799828546795e+01 -5.343694394669937535e-04
1.195885126446635205e+01 -5.259266286251948865e-04
1.200171453064723615e+01 -5.173423494143269616e-04
1.204457779682811847e+01 -5.086191120772746294e-04
1.208744106300900079e+01 -4.997594635611773018e-04
1.213030432918988311e+01 -4.907659834891870028e-04
1.217316759537076720e+01 -4.816412876394203036e-04
1.221603086155165130e+01 -4.723880225477405481e-04
1.225889412773253362e+01 -4.630088647027072739e-04
1.230175739391341594e+01 -4.535065251798184208e-04
1.234462066009429826e+01 -4.438837443801609234e-04
1.238748392627518236e+01 -4.341432904711779880e-04
1.243034719245606468e+01 -4.242879611393099849e-04
1.247321045863694700e+01 -4.143205801844317246e-04
1.251607372481783109e+01 -4.042439995004041935e-04
1.255893699099871519e+01 -3.940610976759999044e-04
1.260180025717959573e+01 -3.837747752290340451e-04
1.264466352336047983e+01 -3.733879612837359696e-04
1.268752678954136215e+01 -3.629036076395295994e-04
1.273039005572224625e+01 -3.523246905632736073e-04
1.277325332190313034e+01 -3.416542041775745791e-04
1.281611658808401089e+01 -3.308951650162925639e-04
1.285897985426489498e+01 -3.200506115359022128e-04
1.290184312044577730e+01 -3.091236038592555828e-04
1.294470638662666140e+01 -2.981172173516942383e-04
1.298756965280754194e+01 -2.870345444404800344e-04
1.303043291898842604e+01 -2.758786954805186788e-04
1.307329618516931014e+01 -2.646527941060726062e-04
1.311615945135019246e+01 -2.533599830401189095e-04
1.315902271753107655e+01 -2.420034206902232921e-04
1.320188598371195710e+01 -2.305862754555512088e-04
1.324474924989284119e+01 -2.191117290743180854e-04
1.328761251607372529e+01 -2.075829758048030823e-04
1.333047578225460761e+01 -1.960032197522591009e-04
1.337333904843549170e+01 -1.843756782761414386e-04
1.341620231461637225e+01 -1.727035759133480335e-04
1.345906558079725635e+01 -1.609901445103487983e-04
1.350192884697814044e+01 -1.492386244976143435e-04
1.354479211315902099e+01 -1.374522620477202045e-04
1.358765537933990508e+01 -1.256343105192424638e-04
1.363051864552078740e+01 -1.137880293920086046e-04
1.367338191170167150e+01 -1.019166794784995663e-04
1.371624517788255559e+01 -9.002352624539951308e-05
1.375910844406343614e+01 -7.811183856110155016e-05
1.380197171024432024e+01 -6.618488744698491899e-05
1.384483497642520256e+01 -5.424594418297140418e-05
1.388769824260608665e+01 -4.229827828995063428e-05
1.393056150878697075e+01 -3.034516045646224296e-05
1.397342477496785129e+01 -1.838985940957536442e-05
1.401628804114873539e+01 -6.435641215504602893e-06
1.405915130732961771e+01 5.514232549347111442e-06
1.410201457351050180e+01 1.745650450208005233e-05
1.414487783969138590e+01 2.938792084360842863e-05
1.418774110587226644e+01 4.130523368754737261e-05
1.423060437205315054e+01 5.320520234783337733e-05
1.427346763823403286e+01 6.508459264586283406e-05
1.431633090441491696e+01 7.694018052943104983e-05
1.435919417059580105e+01 8.876875119197270814e-05
1.440205743677668160e+01 1.005670978199780033e-04
1.444492070295756569e+01 1.123320246344650759e-04
1.448778396913844624e+01 1.240603489015187075e-04
1.453064723531933033e+01 1.357488994994027664e-04
1.457351050150021443e+01 1.473945183455050193e-04
1.461637376768109675e+01 1.589940598852511661e-04
1.465923703386198085e+01 1.705443924041847605e-04
1.470210030004286139e+01 1.820424019309690197e-04
1.474496356622374549e+01 1.934849910732497867e-04
1.478782683240462958e+01 2.048690798623941159e-04
1.483069009858551190e+01 2.161916084045443728e-04
1.487355336476639600e+01 2.274495323882684094e-04
1.491641663094727654e+01 2.386398266122454121e-04
1.495927989712816064e+01 2.497594918243480717e-04
1.500214316330904296e+01 2.608055501371806233e-04
1.504500642948992706e+01 2.717750408736003273e-04
1.508786969567081115e+01 2.826650257175096969e-04
1.513073296185169170e+01 2.934725891473741947e-04
1.517359622803257579e+01 3.041948382314112382e-04
1.521645949421345811e+01 3.148289087913277973e-04
1.525932276039434221e+01 3.253719635305835794e-04
1.530218602657522631e+01 3.358211906437607967e-04
1.534504929275610685e+01 3.461738040475018314e-04
1.538791255893699095e+01 3.564270452655609743e-04
1.543077582511787327e+01 3.665781839242932211e-04
1.547363909129875736e+01 3.766245194755196116e-04
1.551650235747964146e+01 3.865633819083778388e-04
1.555936562366052200e+01 3.963921314581064673e-04
1.560222888984140610e+01 4.061081595283241668e-04
1.564509215602228664e+01 4.157088923218865044e-04
1.568795542220317074e+01 4.251917861560634273e-04
1.573081868838405484e+01 4.345543312162780105e-04
